"Rhoto.Ac.1"	"Rhoto.Ac.2"	"Rhoto.Ac.3"	"Rhoto.Glc.1"	"Rhoto.Glc.2"	"Rhoto.Glc.3"	"Rhoto.So.1"	"Rhoto.So.2"	"Rhoto.So.3"	"Rhoto.Xyl.1"	"Rhoto.Xyl.2"	"Rhoto.Xyl.3"	"Rhoto.YP.1"	"Rhoto.YP.2"	"Rhoto.YP.3"
"mRNA_1251"	4102	5115	3185	3904	3524	2644	2446	2958	3235	2912	2817	2180	2962	2246	1309
"mRNA_1252"	542	556	557	543	553	510	690	677	888	610	659	540	996	774	772
"mRNA_1253"	772	593	782	878	795	653	642	665	857	602	650	615	927	714	749
"mRNA_1254"	4114	4654	4144	3542	3078	2424	3912	5128	5472	3403	3515	2904	5348	4373	4555
"mRNA_1255"	757	736	913	709	485	403	651	457	992	433	576	603	463	393	290
"mRNA_1256"	1	5	3	10	13	11	6	9	4	7	7	22	3	3	5
"mRNA_1257"	131	94	143	153	126	152	140	175	226	116	156	119	244	194	174
"mRNA_1258"	142	132	116	196	275	203	131	167	237	183	219	170	154	142	114
"mRNA_1259"	36	31	35	393	518	550	65	98	218	176	243	236	90	115	22
"mRNA_1260"	108	151	135	228	436	318	177	335	476	399	425	476	203	297	174
"mRNA_1261"	1094	1289	1354	3574	2781	2623	1481	1603	2056	1670	2002	2162	1788	2049	540
"mRNA_1262"	463	296	494	265	326	272	472	501	597	359	345	344	573	539	393
"mRNA_1263"	922	864	938	1240	1052	810	835	1017	1099	778	934	810	770	723	512
"mRNA_1264"	3639	1969	3560	3962	3464	2732	3063	3590	3318	2558	2878	2377	3826	3126	2773
"mRNA_1265"	840	840	1161	1900	1386	1625	1341	1190	2260	754	1110	1182	1225	1366	1297
"mRNA_1266"	135	237	165	78	87	49	284	265	235	196	175	156	273	236	239
"mRNA_1267"	4663	3527	4364	4231	3799	3141	5014	5061	6118	5080	4788	5534	2709	3458	1627
"mRNA_1268"	297	216	265	1511	2628	1384	498	710	695	938	969	735	18527	5836	45603
"mRNA_1269"	1104	1285	1869	712	1002	686	1213	1400	2015	656	922	1007	1827	1790	2147
"mRNA_1270"	65	74	77	137	140	84	78	96	118	104	128	138	68	80	52
"mRNA_1271"	49	126	65	185	153	140	167	176	311	187	188	204	232	188	164
"mRNA_1272"	48	56	80	140	132	111	69	68	114	76	72	114	56	70	52
"mRNA_1273"	92	86	93	216	196	174	108	127	119	146	181	162	152	141	137
"mRNA_1274"	8	13	10	22	14	17	26	17	20	22	13	9	13	12	23
"mRNA_1275"	366	330	323	497	500	394	322	342	401	369	422	421	340	297	190
"mRNA_1276"	1665	1642	1911	1717	1483	1043	2961	2945	3153	1425	1668	1642	2007	1913	1282
"mRNA_1277"	182	171	138	180	92	80	469	605	741	771	589	596	378	321	260
"mRNA_1278"	347	460	584	2040	2091	1429	632	798	1310	1807	2347	2568	876	1167	316
"mRNA_1279"	1	0	0	2	1	0	0	4	1	1	0	2	4	0	12
"mRNA_1280"	20	27	43	82	140	104	18	30	37	42	57	30	26	25	5
"mRNA_1281"	48	50	79	276	174	188	114	164	319	698	667	611	92	133	82
"mRNA_1282"	3	10	1	8	15	12	6	6	8	11	4	7	11	13	12
"mRNA_1283"	40827	24709	37489	65155	56464	48723	25634	32529	33037	41307	45678	38392	23015	21342	7655
"mRNA_1284"	1081	1249	940	926	918	796	663	705	789	936	996	885	1017	919	527
"mRNA_1285"	12	4	9	17	12	15	37	28	38	14	18	13	14	23	15
"mRNA_1286"	538	610	664	760	769	665	557	692	781	531	614	546	855	745	650
"mRNA_1287"	1339	1384	1645	1246	1511	1233	1370	1370	1512	1131	1296	1197	1841	1736	1269
"mRNA_1288"	190	172	252	1029	1086	879	604	652	992	738	963	769	1778	1225	1216
"mRNA_1289"	435	599	601	1294	980	864	713	651	995	688	780	934	1359	1289	1284
"mRNA_1290"	215	287	186	327	283	217	233	220	257	300	286	212	284	198	251
"mRNA_1291"	559	523	486	463	494	320	573	637	673	588	583	445	746	578	617
"mRNA_1292"	548	679	724	361	376	317	874	965	1822	352	360	389	1069	962	807
"mRNA_1293"	1789	2100	1600	349	279	234	984	1286	1202	357	370	325	1425	1168	909
"mRNA_1294"	507	594	716	697	691	549	1621	1547	2121	886	1010	1047	788	967	647
"mRNA_1295"	391	403	407	386	364	263	312	375	531	278	337	291	405	375	283
"mRNA_1296"	2044	2052	2997	9772	8245	6240	4357	3808	7246	6339	7310	7104	1622	2428	304
"mRNA_1297"	1465	1453	1164	647	618	410	932	1095	1299	767	736	615	1206	902	763
"mRNA_1298"	3201	2783	3605	2323	1866	1347	4735	4510	5110	2191	2585	2459	5889	5145	4952
"mRNA_1299"	12301	10817	13618	8367	8952	7553	11266	14256	19452	7802	8933	9707	6029	7728	5302
"mRNA_1300"	269	259	424	735	590	716	805	764	1084	324	435	375	342	402	258
"mRNA_1301"	337	311	382	650	538	564	776	836	891	417	466	407	555	535	423
"mRNA_1302"	1	3	0	2	7	3	5	3	4	1	2	2	14	0	1
"mRNA_1303"	35	35	68	43	18	37	45	42	64	19	30	18	70	44	19
"mRNA_1304"	6	22	6	14	7	10	10	24	41	9	6	4	19	12	20
"mRNA_1305"	337	435	319	887	826	876	757	749	950	803	721	603	2180	1233	2210
"mRNA_1306"	65	91	68	220	134	195	3	20	30	76	84	79	21	27	28
"mRNA_1307"	95	79	108	31	52	32	166	202	372	138	90	98	336	213	274
"mRNA_1308"	7001	5531	8518	4684	4467	4809	2677	2178	2823	1999	2507	2964	2119	3045	1997
"mRNA_1309"	1448	3529	3272	1082	1085	678	20499	22386	25710	14508	17791	14902	35607	21340	29474
"mRNA_1310"	607	432	600	826	647	640	879	967	1265	842	1076	849	1069	948	663
"mRNA_1311"	1405	2085	1324	1514	1226	984	1208	1537	1506	1065	1163	977	1824	1649	1256
"mRNA_1312"	93	150	88	175	128	108	112	131	158	106	130	107	178	123	104
"mRNA_1313"	928	608	759	680	624	440	739	841	708	453	571	490	859	691	717
"mRNA_1314"	414	393	574	987	742	643	601	619	725	563	706	658	631	590	568
"mRNA_1315"	581	743	938	1389	1238	1193	1120	1128	1782	679	837	1110	1155	1093	990
"mRNA_1316"	770	894	960	116	194	156	609	595	1030	431	448	511	1106	1321	624
"mRNA_1317"	347	471	389	536	615	542	876	1061	1623	613	595	531	1152	1007	1013
"mRNA_1318"	1217	1429	1248	1825	1474	1093	2547	2459	3193	2033	2055	1749	2744	1807	3314
"mRNA_1319"	0	1	0	51	11	19	2	1	0	1	8	6	1	0	0
"mRNA_1320"	4542	4848	4261	4838	3155	2811	3263	3674	3627	3368	3575	3233	3040	3029	1809
"mRNA_1321"	2852	3152	2854	4707	3279	2791	1789	2020	2360	2432	2762	2737	2125	2067	1936
"mRNA_1322"	551	604	668	857	685	555	574	672	868	683	749	645	675	590	509
"mRNA_1323"	10	10	6	9	11	16	6	4	22	12	4	12	16	14	7
"mRNA_1324"	445	761	859	1876	1581	1211	1361	1184	2216	1312	1887	1855	1445	1634	1292
"mRNA_1325"	2360	2440	2968	2832	2080	1805	2853	3235	4041	3305	3652	3012	3094	2916	1867
"mRNA_1326"	541	417	657	642	532	397	1388	1217	1563	782	1017	933	1571	1185	1232
"mRNA_1327"	507	618	917	1147	1160	1000	1267	1263	2001	868	1285	1423	1389	1529	1186
"mRNA_1328"	408	366	397	600	528	472	289	387	454	458	531	470	341	300	384
"mRNA_1329"	203	196	202	612	367	400	219	279	361	291	267	284	227	201	226
"mRNA_1330"	723	1041	1187	1247	1025	685	1090	1050	1961	872	1124	1273	1132	1503	907
"mRNA_1331"	1351	1557	1865	905	977	734	2188	2149	2823	1081	1360	1392	2460	2302	2512
"mRNA_1332"	107	218	172	494	362	239	394	564	844	468	607	602	316	289	393
"mRNA_1333"	1965	2198	2551	5100	6652	5279	2368	2870	3782	2174	2713	3074	3408	4362	1828
"mRNA_1334"	265	257	343	639	785	568	585	697	694	512	647	615	905	866	627
"mRNA_1335"	1402	1444	1393	555	654	415	1635	1702	1708	1059	1131	1052	3508	2639	2986
"mRNA_1336"	645	714	891	562	587	476	915	926	1065	649	671	615	1010	832	709
"mRNA_1337"	19626	18178	19528	14545	11846	9384	15436	16268	16031	11290	12837	11511	12331	11551	8128
"mRNA_1338"	106	103	138	523	589	604	95	150	190	289	334	363	199	229	60
"mRNA_1339"	2498	1999	1717	154	146	162	97	154	213	3768	2816	2362	561	488	48
"mRNA_1340"	63	88	58	1411	1513	1023	293	477	591	338	341	247	637	524	310
"mRNA_1341"	286	203	292	558	789	769	187	190	216	172	222	232	455	464	258
"mRNA_1342"	149	81	128	230	237	191	234	275	342	139	181	169	252	290	146
"mRNA_1343"	2	9	11	255	546	484	12	43	121	538	698	845	698	340	1095
"mRNA_1344"	2540	2773	2465	2419	2041	1695	2246	2670	2743	1798	2138	1851	3416	2664	2582
"mRNA_1345"	597	527	615	2277	2262	2046	871	783	1361	1094	1250	1186	300	409	349
"mRNA_1346"	547	408	665	8	4	1	659	702	848	73	110	108	1225	892	885
"mRNA_1347"	10	13	38	110	102	72	225	253	295	236	248	210	243	155	150
"mRNA_1348"	58	82	85	213	188	186	71	96	130	83	95	107	78	76	84
"mRNA_1349"	2556	2833	2866	4051	3497	2784	2654	2751	3485	2308	2947	2875	2488	2282	1713
"mRNA_1350"	689	903	459	423	319	310	490	679	586	337	332	235	682	573	272
"mRNA_1351"	125	236	184	578	474	545	308	354	821	367	354	393	218	307	189
"mRNA_1352"	221	259	210	367	323	323	122	201	255	436	410	336	244	223	99
"mRNA_1353"	3627	3903	3094	1232	1328	804	3092	3844	3994	3373	3511	3147	3756	3029	1409
"mRNA_1354"	45	47	46	132	89	100	45	66	72	53	31	44	45	47	42
"mRNA_1355"	19	11	21	78	104	68	17	24	59	328	231	215	38	57	27
"mRNA_1356"	792	1178	1164	709	975	700	1542	1590	2407	989	1158	1309	1728	1798	1502
"mRNA_1357"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"mRNA_1358"	373	554	798	20216	25657	23993	5821	5697	7897	4676	7393	8920	4022	6874	1253
"mRNA_1359"	573	532	797	791	777	631	1048	882	1379	740	973	933	1068	902	1392
"mRNA_1360"	205	299	282	214	330	264	797	733	1066	679	869	702	1088	747	873
"mRNA_1361"	1	1	7	2282	3901	3560	15	45	89	858	986	832	235	256	8
"mRNA_1362"	6568	8447	10473	15172	14103	15932	10448	8750	13362	4294	4811	5592	3346	5698	2046
"mRNA_1363"	244	311	333	88	124	104	1346	1840	1956	446	478	481	1911	1602	443
"mRNA_1364"	605	723	811	827	836	566	654	656	986	782	907	788	685	749	490
"mRNA_1365"	1418	2005	1631	2093	1629	1224	2709	3000	3203	1632	2036	2097	2353	2364	1534
"mRNA_1366"	7483	6073	6615	983	1148	886	5635	5989	5233	2606	2780	2606	5329	4711	2886
"mRNA_1367"	12286	12083	12808	21617	15719	13800	12632	15003	13551	11162	11854	11678	10332	11844	5139
"mRNA_1368"	1373	768	1019	3654	4144	3847	304	417	399	1654	1905	1891	412	441	129
"mRNA_1369"	10	7	6	25	19	18	14	30	28	395	457	342	30	23	28
"mRNA_1370"	34	38	25	87	72	50	28	39	61	36	34	23	68	56	52
"mRNA_1371"	1239	1208	1335	1370	1145	892	2143	2456	2025	1180	1404	1081	3440	2502	2149
"mRNA_1372"	83	58	75	137	111	103	59	76	134	139	108	117	105	99	61
"mRNA_1373"	672	760	876	821	828	714	1188	944	1431	774	937	951	1592	1395	1485
"mRNA_1374"	5385	6180	5268	4838	3750	2888	5092	5426	5409	3406	3695	3584	4459	4341	3883
"mRNA_1375"	956	1226	1306	358	459	321	757	684	1157	610	692	753	586	676	308
"mRNA_1376"	394	369	458	363	425	303	315	385	556	365	422	379	612	434	548
"mRNA_1377"	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0
"mRNA_1378"	693	1057	1028	1432	1168	1120	2188	2313	4071	1085	1319	1288	2066	1759	2413
"mRNA_1379"	302	294	389	389	505	399	332	408	560	446	421	342	393	429	323
"mRNA_1380"	1695	2977	1649	2162	1847	1573	2251	2476	3080	1972	2240	1843	2421	1744	1888
"mRNA_1381"	2236	2170	1900	2771	2743	2174	1963	2156	2549	3297	3397	2689	2436	1709	2241
"mRNA_1382"	887	833	1040	493	592	425	991	1050	1178	609	750	683	1212	1025	1161
"mRNA_1383"	283	380	282	675	951	738	303	417	421	383	384	339	1027	1050	355
"mRNA_1384"	297	298	328	351	447	381	333	357	456	307	383	372	450	465	352
"mRNA_1385"	668	607	643	369	432	299	691	822	815	456	525	430	888	703	833
"mRNA_1386"	32	50	33	88	58	62	47	53	62	70	80	42	50	39	53
"mRNA_1387"	208	200	201	241	248	195	234	263	342	201	240	214	279	256	266
"mRNA_1388"	639	885	1067	1239	1415	1169	1336	1249	2180	962	1138	1383	2057	2189	2698
"mRNA_1389"	70	87	69	89	90	64	83	66	80	31	51	35	83	37	77
"mRNA_1390"	629	678	678	1756	1217	1429	1614	1909	4033	954	996	1040	974	918	904
"mRNA_1391"	39	48	61	134	181	154	95	129	155	120	148	109	224	195	163
"mRNA_1392"	5	7	9	203	615	439	13	44	73	324	374	313	281	234	25
"mRNA_1393"	164	205	225	915	515	475	208	239	340	195	581	475	113	124	93
"mRNA_1394"	20	30	20	111	67	72	14	22	37	21	56	71	5	17	5
"mRNA_1395"	1162	1444	1870	1866	1625	1543	2051	1693	3520	1155	1459	1665	1818	1885	2081
"mRNA_1396"	5	13	9	38	18	31	14	8	10	22	17	6	11	9	10
"mRNA_1397"	2751	3483	3168	3408	2803	2372	3457	3859	4085	2185	2625	2753	2824	2900	2953
"mRNA_1398"	13	15	28	32	19	27	171	132	206	8	21	16	63	70	89
"mRNA_1399"	27	39	48	561	266	241	78	101	134	134	148	139	115	75	76
"mRNA_1400"	670	814	794	954	809	641	772	749	1050	664	782	824	671	687	629
"mRNA_1401"	415	446	398	731	447	464	458	495	595	573	642	560	443	333	706
"mRNA_1402"	561	483	812	1254	1152	885	639	646	863	711	859	795	563	565	622
"mRNA_1403"	58	61	85	231	233	103	132	128	215	154	150	156	80	84	107
"mRNA_1404"	104	78	121	181	424	316	746	512	1090	463	489	458	358	594	280
"mRNA_1405"	13	8	15	36	27	23	54	43	102	58	56	54	71	60	50
"mRNA_1406"	6501	7557	6964	6998	7122	4924	12538	12783	13718	13629	15435	14803	6978	6976	5737
"mRNA_1407"	31857	36763	27810	36850	33009	28167	16481	22401	21727	25958	28159	24650	10464	9628	3088
"mRNA_1408"	13563	13535	12534	28161	24429	20927	11445	15283	15322	18677	20384	17653	7679	7392	2082
"mRNA_1409"	124	72	104	316	205	357	77	120	176	171	142	174	132	130	99
"mRNA_1410"	4533	6516	3035	6903	5752	4675	2134	2720	3044	5173	5187	4189	2118	1824	957
"mRNA_1411"	150	135	137	153	106	106	104	114	144	147	154	104	131	101	183
"mRNA_1412"	141	255	325	395	383	361	309	281	481	192	289	330	319	465	286
"mRNA_1413"	2694	2806	2280	3341	2754	2198	1256	1585	1656	1961	2132	1934	1452	1267	908
"mRNA_1414"	434	526	674	2463	1703	1696	1127	1163	1983	711	996	1194	1042	1247	733
"mRNA_1415"	8	13	11	231	183	167	7	9	17	13	9	11	4	15	9
"mRNA_1416"	31	30	44	161	305	265	169	114	270	262	295	408	198	220	255
"mRNA_1417"	6	4	9	22	32	31	4	15	34	7	7	4	20	12	19
"mRNA_1418"	1253	990	1292	1023	931	695	1609	1476	1747	851	962	881	1570	1379	1105
"mRNA_1419"	581	752	742	590	304	422	619	551	1028	462	456	530	506	550	461
"mRNA_1420"	106	106	188	473	581	509	276	294	552	451	500	620	242	272	194
"mRNA_1421"	349	284	396	556	491	457	451	459	584	323	346	346	487	467	396
"mRNA_1422"	713	665	925	1387	1259	1062	880	750	1132	1036	1163	1134	2606	1707	4460
"mRNA_1423"	120	136	133	553	331	347	211	188	307	264	270	242	307	278	304
"mRNA_1424"	34	90	92	79	74	62	77	57	99	41	51	63	58	86	63
"mRNA_1425"	7798	14688	13956	342	262	214	20074	17767	18686	1195	2157	2249	10758	9500	34104
"mRNA_1426"	21	13	15	197	320	269	21	60	44	65	103	102	74	80	6
"mRNA_1427"	220	123	192	645	920	824	197	326	556	357	373	400	317	449	58
"mRNA_1428"	7	9	9	75	68	99	30	34	58	47	55	36	39	50	24
"mRNA_1429"	5	1	4	0	0	3	10	22	9	10	13	9	15	24	11
"mRNA_1430"	3045	5450	3427	4216	2962	2592	3782	4489	4942	2611	2932	2754	2804	2480	2309
"mRNA_1431"	0	1	2	1	1	1	0	2	0	2	1	0	0	0	1
"mRNA_1432"	2412	1916	2085	2489	1890	1532	1715	2270	2230	1703	2071	1904	1742	1793	1563
"mRNA_1433"	6058	6847	5307	5561	4471	3884	3308	4016	3691	3481	3819	3236	4059	3635	3585
"mRNA_1434"	223	277	238	369	604	557	276	462	617	454	446	382	1092	954	504
"mRNA_1435"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mRNA_1436"	0	0	0	1	0	2	0	0	1	0	0	0	2	0	1
"mRNA_1437"	721	676	717	1241	1294	1197	620	658	872	821	881	790	901	839	419
"mRNA_1438"	43	50	51	68	75	91	66	47	82	44	38	56	74	89	90
"mRNA_1439"	911	997	1305	1133	1216	904	1207	1333	1499	894	1143	978	1838	1599	1756
"mRNA_1440"	133	107	77	2	1	0	25	52	89	9	12	6	21	26	35
"mRNA_1441"	1034	1079	1046	127	149	110	552	515	693	451	406	485	413	496	471
"mRNA_1442"	40	45	53	203	192	142	69	72	79	102	107	106	60	42	83
"mRNA_1443"	513	513	841	605	617	686	701	659	907	363	441	502	569	869	451
"mRNA_1444"	70	62	73	258	195	173	118	130	224	177	185	143	179	150	116
"mRNA_1445"	3022	3737	4444	6835	4913	4309	5044	5168	8052	3642	4725	4749	4556	4453	3391
"mRNA_1446"	1555	2174	2751	5062	5892	5875	3531	3690	5905	3063	3832	4875	4668	5604	2351
"mRNA_1447"	1255	1681	1865	2032	1634	1132	3286	3542	4090	1785	2431	2340	3398	3012	2855
"mRNA_1448"	29	56	56	44	76	52	73	90	141	68	87	105	60	101	97
"mRNA_1449"	333	211	407	604	716	553	350	244	373	282	245	225	439	305	476
"mRNA_1450"	513	448	622	1425	1126	872	678	602	693	779	890	959	946	785	817
"mRNA_1451"	19	37	31	569	584	420	102	222	315	161	295	259	118	130	111
"mRNA_1452"	24	28	42	630	638	319	120	149	157	73	65	69	182	176	260
"mRNA_1453"	61	65	115	259	287	212	173	177	226	203	285	251	249	274	235
"mRNA_1454"	180	298	228	370	320	239	905	993	848	422	419	341	1085	813	806
"mRNA_1455"	4242	4580	4163	5637	4915	3890	4086	4984	5185	3965	4747	4117	4556	4637	2267
"mRNA_1456"	0	0	1	1	8	4	1	0	1	2	1	0	0	2	1
"mRNA_1457"	26898	29728	37709	40977	27661	22700	9770	15148	20498	18130	22935	29326	6774	11754	6234
"mRNA_1458"	252	253	358	954	944	927	364	344	608	606	652	688	356	380	359
"mRNA_1459"	17	19	28	59	137	97	26	37	76	125	130	111	47	45	74
"mRNA_1460"	1063	990	1166	609	655	461	1294	1077	1129	895	966	889	1580	1408	1159
"mRNA_1461"	5720	3925	5880	3589	2823	2345	7739	7835	8290	3569	4433	3835	5929	4439	3234
"mRNA_1462"	787	532	850	839	753	662	563	510	666	599	623	580	517	520	372
"mRNA_1463"	60	57	77	321	546	378	105	125	171	697	692	725	383	312	51
"mRNA_1464"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"mRNA_1465"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"mRNA_1466"	147	120	175	105	240	191	197	164	295	163	171	140	331	313	340
"mRNA_1467"	2456	3645	4002	1009	1534	896	5740	5273	7417	2342	3027	3745	4583	4634	4258
"mRNA_1468"	563	672	800	435	731	610	610	551	1040	562	542	715	1120	1112	1297
"mRNA_1469"	18	28	46	20	14	24	15	24	31	12	46	37	27	27	31
"mRNA_1470"	758	916	1091	5730	3787	3189	1564	1687	2328	2294	2770	2701	1146	1098	833
"mRNA_1471"	817	1726	2098	4816	3515	4895	3603	2892	7111	1251	1761	2449	1459	2251	1960
"mRNA_1472"	377	289	394	743	524	548	452	454	599	641	727	596	557	488	389
"mRNA_1473"	2149	2770	3125	1649	1264	1097	1014	1275	1835	601	1117	950	763	982	603
"mRNA_1474"	14	19	22	121	91	80	23	25	34	65	48	43	34	42	31
"mRNA_1475"	4393	5300	5044	9918	14485	11102	7365	9594	10097	9234	11481	11366	12653	13794	2834
"mRNA_1476"	173	170	209	486	353	359	231	329	387	157	221	228	132	157	92
"mRNA_1477"	19909	11097	15512	1379	991	956	4898	4636	7143	2327	1702	1626	2441	3437	1630
"mRNA_1478"	300	618	559	56	27	35	723	544	1558	156	174	285	158	276	145
"mRNA_1479"	2605	3708	6227	432	375	404	10051	9048	19416	1846	1766	2676	2324	4108	2322
"mRNA_1480"	9	8	5	4	4	3	2	5	2	1	6	0	2	0	2
"mRNA_1481"	9	5	6	12	7	3	3	9	6	2	4	9	2	4	4
"mRNA_1482"	4	11	6	5	16	6	19	11	33	3	12	1	36	28	25
"mRNA_1483"	7	2	11	17	20	18	17	27	37	6	10	6	48	22	41
"mRNA_1484"	389	520	615	1227	796	724	1045	983	1172	693	833	914	886	908	540
"mRNA_1485"	867	927	929	588	545	450	1039	1015	1026	677	712	662	927	868	715
"mRNA_1486"	271	385	446	752	705	646	754	667	1096	427	594	694	654	750	649
"mRNA_1487"	877	1062	1018	1510	1404	1251	973	1189	1271	756	1044	883	1171	1083	1027
"mRNA_1488"	83311	75007	98376	3419	4216	3031	79269	55698	63034	58287	62408	87964	20281	34007	10001
"mRNA_1489"	4477	5476	3146	1528	1130	970	3531	4299	4191	2180	2069	1537	3041	3003	1277
"mRNA_1490"	295	203	253	58	84	59	211	173	233	484	381	355	332	229	173
"mRNA_1491"	2495	2954	2829	4304	3530	2678	3188	3495	3975	2832	3456	3305	3110	3132	1952
"mRNA_1492"	898	1210	1040	1716	1523	1212	1132	1378	1582	1379	1542	1416	1431	1192	1154
"mRNA_1493"	46	48	62	69	51	73	204	222	286	143	159	154	124	136	67
"mRNA_1494"	1029	781	1117	301	215	162	1493	1485	1440	967	886	819	1673	1294	1178
"mRNA_1495"	81	119	153	492	583	577	186	241	433	305	322	403	233	271	118
"mRNA_1496"	62	65	65	1009	1735	1805	235	224	401	270	340	341	213	268	340
"mRNA_1497"	1826	1432	1839	1145	1024	833	2772	2644	3344	1371	1499	1495	3363	2929	3341
"mRNA_1498"	728	829	820	1274	1063	1085	796	964	906	817	911	864	741	731	599
"mRNA_1499"	509	641	849	454	500	198	1044	646	1114	911	1014	1139	604	610	802
"mRNA_1500"	6321	5814	6334	9893	6450	4934	10028	10217	12089	7367	8705	7359	4150	4416	2290
"mRNA_1501"	0	2	0	1	3	0	0	1	0	0	0	0	0	0	0
"mRNA_1502"	56	87	97	734	412	333	311	245	517	184	248	288	82	135	71
"mRNA_1503"	331	312	305	453	302	300	405	497	538	434	433	390	494	389	463
"mRNA_1504"	375	687	401	394	717	439	461	452	522	458	438	484	783	680	339
"mRNA_1505"	800	599	788	1506	1720	1368	777	914	891	1273	1413	1236	1455	1306	543
"mRNA_1506"	595	670	945	1725	1684	1540	903	722	1254	1230	1480	1765	665	767	520
"mRNA_1507"	7	6	11	6	6	4	4	5	33	53	29	26	18	9	11
"mRNA_1508"	96	141	245	695	768	550	790	781	1509	540	690	834	307	406	231
"mRNA_1509"	214	254	203	105	144	122	364	270	400	215	296	233	375	345	306
"mRNA_1510"	219	218	273	219	203	183	312	291	576	291	250	201	357	386	436
"mRNA_1511"	750	773	884	1357	1070	975	1066	1276	1568	859	895	813	2046	1775	1579
"mRNA_1512"	340	428	432	482	474	393	777	891	991	891	1117	928	1072	953	1009
"mRNA_1513"	237	208	313	761	609	583	472	562	664	614	607	549	1447	1230	485
"mRNA_1514"	958	988	951	614	668	474	885	974	818	613	757	674	1294	1061	689
"mRNA_1515"	238	252	273	988	1130	1106	269	449	533	485	594	620	648	639	173
"mRNA_1516"	79	42	47	348	513	467	68	83	169	210	229	229	183	234	51
"mRNA_1517"	3934	3995	3401	23210	19629	16741	2065	2319	3169	7156	7563	6725	2363	2037	1654
"mRNA_1518"	3411	4439	3368	2552	1767	1166	6585	9308	9236	3414	3522	2878	4369	4371	1933
"mRNA_1519"	382	317	436	367	318	259	221	238	267	320	340	259	253	238	92
"mRNA_1520"	991	1339	1042	1097	955	741	611	658	820	651	723	677	698	722	317
"mRNA_1521"	537	706	638	446	417	351	732	740	1038	965	885	700	980	777	935
"mRNA_1522"	137	149	202	266	534	390	187	248	333	729	896	833	632	580	261
"mRNA_1523"	65	46	89	91	128	108	75	67	99	112	164	100	255	174	100
"mRNA_1524"	40	34	36	227	144	301	8	19	32	87	126	102	24	31	3
"mRNA_1525"	1029	1917	1844	2216	1916	2112	2379	2373	5159	1552	1596	1869	1938	2485	1986
"mRNA_1526"	25802	22408	23013	30348	27139	21767	19142	23625	23408	19124	21245	17459	13458	12017	4412
"mRNA_1527"	832	573	802	1151	958	745	692	801	883	759	782	712	701	674	537
"mRNA_1528"	5080	5101	5884	4861	4079	3044	5515	4931	6457	3401	4088	4104	3970	3926	3511
"mRNA_1529"	1387	1399	1750	1727	1706	1383	1836	2106	2211	1253	1602	1561	2345	2237	1884
"mRNA_1530"	2047	1860	1986	1869	1820	1131	2454	2927	2688	2105	2080	1749	3450	2448	2938
"mRNA_1531"	13	8	12	36	33	36	20	31	53	13	24	16	40	41	30
"mRNA_1532"	1260	1022	1527	1674	1409	1032	1652	1784	1889	1301	1491	1449	1592	1453	1297
"mRNA_1533"	1098	775	1096	803	732	622	1693	1697	2204	834	879	770	1555	1374	1742
"mRNA_1534"	967	1045	1079	2148	2287	1879	993	1434	1506	1120	1313	1049	1999	1892	944
"mRNA_1535"	1230	1220	1497	1713	1778	1596	1820	1843	2196	1173	1586	1457	1817	1915	1100
"mRNA_1536"	595	729	794	1218	930	817	678	817	942	776	923	844	610	687	354
"mRNA_1537"	252	213	234	470	497	404	486	549	611	632	665	546	697	642	251
"mRNA_1538"	489	664	815	801	926	905	1424	1351	2499	634	755	915	917	1059	670
"mRNA_1539"	280	355	294	326	307	237	339	353	417	374	444	361	510	335	368
"mRNA_1540"	46254	38541	40645	52785	45697	38311	24088	33004	28853	30093	31337	25763	28563	25604	11509
"mRNA_1541"	43936	36773	39132	65458	58162	49499	28139	34857	31719	37095	40147	36483	30329	31007	9952
"mRNA_1542"	12823	13967	10744	7954	5666	5188	4327	4510	4375	4781	4416	4128	3648	3586	1683
"mRNA_1543"	1013	608	980	649	640	507	530	546	668	522	476	420	630	432	473
"mRNA_1544"	1077	1576	1519	842	730	445	1842	2193	2314	1197	1533	1442	2213	1999	1864
"mRNA_1545"	0	0	1	0	1	0	1	1	2	2	1	0	4	5	1
"mRNA_1546"	1052	1276	1560	1639	1539	1150	2080	1984	2774	1330	1809	1878	1972	1878	1502
"mRNA_1547"	612	822	845	1334	1014	989	859	919	1357	720	871	902	1056	1149	847
"mRNA_1548"	8712	9445	9410	15072	12747	12020	10865	13370	14330	9035	10377	9784	11236	12622	5763
"mRNA_1549"	200	221	148	182	198	171	112	141	185	240	224	155	168	118	103
"mRNA_1550"	3	4	3	27	49	65	15	6	11	43	45	19	15	10	22
"mRNA_1551"	23	12	10	67	183	152	11	22	39	45	54	54	43	65	43
"mRNA_1552"	1812	1533	2004	1550	1422	1207	1703	1829	1779	1198	1411	1230	2180	1903	1729
"mRNA_1553"	14695	17100	21907	10078	6443	4860	34700	32472	34497	9811	12069	11746	34806	32081	30876
"mRNA_1554"	3	11	8	1	3	1	3	7	6	4	8	1	15	5	8
"mRNA_1555"	86	46	125	104	159	96	413	512	623	364	407	370	540	533	200
